IBGE;NU_IDENTIFICADOR;ident_nome;ident_tplog;ident_log;ident_numero;ident_comp;ident_bairro;ident_cep;ident_municipio;ident_uf;ident_email;ident_tel;ident_ramal;ident_fax;ident_dt_imp;q25
53;5300103401727;CENTRO DE CONVIVÊNCIA ASSISTÊNCIA SOCIAL CASA AZUL FELIPE AUGUSTO;28;QN 315 CONJUNTO F Lote 1/4;14;Samambaia Sul;SAMAMBAIA;72307406;BRASILIA;DF;atendimento@casazul.org.br;(61) 33592095;39;(61) 33592098;10/10/1989;Balé, hip hop, orquestra, flauta, percussão, acompanhamento escolar, oficinas literárias, esportes, jogos lógicos e de tabuleiro, língua portuguesa, cidadania, informática, serviços administrativos, matemática, sustentabilidade (meio ambiente) e empreendorismo, mobilização para a conferência de assistência social
53;5300103401728;CENTRO DE CONVIVÊNCIA CENTRO DE PROJETOS E ASSISTÊNCIA INTEGRAL - CEPAI;28;QN 404 Conjunto B Lotes;1;lotes 1,2 e 3;Samambaia Norte;72318542;BRASILIA;DF;cepaicepai@hotmail.com;(61) 30323206;;;28/02/1989;"A) Serviço de convivência: atendimento a 60 crianças na faixa etária de 06 a 10 anos, de 2ª a 6ª feira, no horário contrário de aula da rede pública de ensino com atividades que visem o desenvolvimento intelectual, a psicomotricidade e a socialização. Este atendimento possibilita que a família da criança tabalhe, enquanto seu filho usufrui de um lugar seguro e adequado para o seu desenvolvimento. E no Serviço de Convivência, atende com oficinas educativas, esportivas e culturais procurando ocupá-los com atividades que possibilite crescimento pleno e saudável para sua vida e de seus familiares.
B) Projetos Sociais: São projetos que visem o desenvolvimento dos atendidos: cidadania, música, artes, culinária alternativa.
C) Assistência às gestantes: orientação às gestantes quanto a aspectos religiosos, morais, sociais e médicos, bem como assistência imediata aos recém nascidos com distribuição de enxovais, sendo confeccionado pela própria mãe.
D) Assistência às famílias: oferece o Programa Sócio - Familiar a 300 famílias de baixa renda moradoras de Samambaia com atividades que possibilite o fortalecimento dos vículos familiares e ações que ajudem no melhoramento da situação de vulnerabilidade social a qual ela esteja vivenciando.
E) Oficinas: orientar e capacitar adolescentes e família com atividades que visem seu sustento."
53;5300103401729;CENTRO DE CONVIVÊNCIA AFMA - AÇÃO SOCIAL COMUNITÁRIA;28;QN 412 Conjunto A;Lt 1;;Samambaia Norte;72320541;BRASILIA;DF;afma.creche@brturbo.com.br;(61) 33585905;;(61) 33580758;01/07/1991;OFICINAS, PALESTRAS, RODAS DE CONVERSA, TEATRO, PASSEIOS EXTERNOS, ATIVIDADES RECREATIVAS E LÚDICAS.
53;5300103401731;CENTRO DE CONVIVÊNCIA ASSISTÊNCIA SOCIAL CASA AZUL;28;QN 8A Conjunto 05 lote 1/2;01/fev;;Riacho Fundo II;71880115;BRASILIA;DF;atendimento@casazul.org.br;(61) 35746001;;;01/04/2014;balé, hip-hop, informática, orquestra, natação, noções administrativas, percussão, flauta, GRD e esporte, acompanhamento escolar, cidadania, mobilização para a Conferência de Assistência Social
53;5300103401732;CENTRO DE CONVIVÊNCIA AÇÃO SOCIAL CRIANÇA FELIZ NOTRE DAME;28;QNM 10 CONJUNTO B LOTES 2/4;24;;CEILÂNDIA NORTE;72210102;BRASILIA;DF;criancafeliz.adm@notredame.org.br;(61) 30428612;;;01/01/2012;Realizamos semanalmente atividades como: artesanato, música dança, karatê, esporte e bricadeiras lúdicas e recreativas. Além disso mensamente temos alguns projetos como o baú do comportamento, semanalmente o dado da paz
53;5300103401733;CENTRO DE CONVIVÊNCIA CEILÂNDIA SUL;28;QNM 15 ÁREA ESPECIAL MÓDULO A;S/N;Modulo A;CEILÂNDIA SUL;72215151;BRASILIA;DF;coseceisul@sedhs.df.gov.br;(61) 33712536;;(61) 33737961;11/11/2009;Nas atividades para as crianças e adolescentes são utilizadas técnicas e vivências estratégicas para se atingir os objetivos propostos, como dinâmicas, brincadeiras, música, desenho, leitura e escrita, vídeos, esporte, lazer e outras expressões relacionadas à pratica da cidadania. As atividades intergeracionais (adultos e idosos) são desenvolvidas estratégias com o auxílio das artes, dos saberes individuais, como corte e costura, bordado, ponto cruz, artesanato, visando ao alcance dos objetivos. oficinas direcionadas ao convivio e a troca de experiência, destacando as dinâmicas da interação como complementação, com o intuito de melhorar a auto estima e o fortalecimento de vínculos sociais.
53;5300103401734;CENTRO DE CONVIVÊNCIA CENTRO COMUNITÁRIO SÃO LUCAS;28;QNM 33 MÓDULO  A  Área Especial;SN;;CEILÂNDIA SUL;72215330;BRASILIA;DF;scfv.cecosal@gmail.com;(61) 33713339;227;;03/06/2006;DANÇA. BALET, MÚSICA, INFORMÁTICA, CIDADANIA, JUDÔ, ESPORTE E LAXER, ACOMPANHAMENTO ESCOLAR, ATENDIMENTO PSICOSSOCIAL, ACOMPANHAMENTO PEDAGÓGICO, GRUPOS TERAPEUTICOS COM AS CRIANÇAS E ADOLESCENTES, GRUPO MULTIFAMILIAR, ATENDIMENTO ÀS FAMÍLIAS, ATENDIMENTO DEMANDA ESPONTÂNEA.
53;5300103401736;CENTRO DE CONVIVÊNCIA COMUNIDADE EVANGÉLICA DE CONFISSÃO LUTERANA DE BRASÍLIA - CENTRO SOCIAL LUTERANO CANTINHO DO GIRASSOL;28;QNM 30 AREA ESPECIAL;SN;Módulos B/C;Ceilândia norte;72210302;BRASILIA;DF;cgirassol@cantinhodogirassol.com.br;(61) 33731145;;;09/07/1974;ACOMPANHAMENTO DAS TAREFAS ESCOLARES, INFORMÁTICA, CIDADANIA, ATIVIDADES ESPORTIVAS (FUTSAL, BASQUETE, HANDEBOL, VÔLEI E KARATÊ), ATIVIDADES LÚDICAS E RECREATIVAS (JOGOS, BRINCADEIRAS, GAME), ATIVIDADES CULTURAIS (ARTES/ARTESANATO, CAPOEIRA, RECICLAGEM, DANÇA/BALLET,VÍDEO), ATIVIDADES DE LAZER (GINCANAS, CAMPEONATOS, TORNEIOS, APRESENTAÇÕES).
53;5300103401737;CENTRO DE CONVIVÊNCIA CENTRO ASSISTENCIAL MARIA CARMEM COLERA;28;QNM 30 MODULO F;30;;Ceilândia norte;72210306;BRASILIA;DF;mariacarmencolera@gmail.com;(61) 34713333;;;01/03/2001;O PROJETO TRABALHA COM OFICINAS ASSIM DISCRIMINADAS: DANÇA,ARTESANATO, INFORMÁTICA, MÚSICA, ACOMPANHAMENTO ESCOLAR, CULTIVANDO A VIDA (VALORES HUMANOS E IGUALDADE SOCIAL).
53;5300103401740;CENTRO DE CONVIVÊNCIA CEILÂNDIA NORTE;28;QNN 15 Área Especial Módulo A;0;Ceilândia Norte;Ceilândia;72225151;BRASILIA;DF;coseceioeste@sedestmidh.df.gov.br;(61) 33747756;;;11/11/2009;Alem das atividades descritas na questão 24, executamos o programa ''caminhos da cidadania'' e ''mestres do saber'',
53;5300103401741;CENTRO DE CONVIVÊNCIA CEILÂNDIA GUARIROBA;28;QNN 16 A/E Módulo A;s/n;Guariroba;Guariroba;72220160;BRASILIA;DF;cosegua@sedhs.df.gov.br;(61) 33782681;;;11/11/2009;ATIVIDADES ARTESANAIS, HORTA, PROJETO ''CAMINHOS DA CIDADANIA'', OFICINA DA BELEZA ONDE ENTENDEMOS QUE AS OFICINAS NÃO TEM UM FIM EM SI MESMAS, MAS SÃO MEIOS PARA ALCANÇARMOS O OBJETIVO FINAL DO NOSSO SERVIÇO QUE TEM UM CARÁTER PROATIVO, PREVENTIVO NA DEFESA E AFIRMAÇÃO DOS DIREITOS DOS NOSSOS USUÁRIOS.
53;5300103401743;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO SÃO VICENTE DE PAULO BH- CENTRO COMUNITÁRIO DO IDOSO LUÍSA DE MARILLAC;28;QNN 32 MÓDULO C;S/N;;CEILÂNDIA SUL- Guariroba;72220320;BRASILIA;DF;cci_luisademarillac@yahoo.com.br;(61) 33762016;;;01/03/1982;ATENDIMENTO SOCIAL, FISIOTERAPIA, ESTIMULAÇÃO E REABILITAÇÃO COGNITIVA, ARTESANATO DIVERSOS, ESPIRITUALIDADE, CULTURA, ENCONTRO COM FAMILIARES, PASSEIO CULTURAL, VISITAS DIMICILIARES E AS PARCERIAS COM AS UNIVERSIDADES, FACULDADES (ESTUDANTES/ ESTAGIARIOS), TJDF (PRESTAÇÃO DE SERVIÇOS), PARTICIPAÇÃO EM CONFERÊNCIAS, FORUNS, CONSELHOS DOS DIREITOS DOS IDOSOS, SAÚDE, ASSISTENCIA SOCIAL, ENCONTROS FORMATIVOS NO STJ.
53;5300103401744;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO DE APOIO AOS PORTADORES DE NECESSIDADES ESPECIAIS E DA COMUNIDADE DO DF-ADAPTE;28;QNO 16 Conjunto D - Área Especial;1;Expansão do Setor ''O;Ceilândia;72260684;BRASILIA;DF;adaptejc@hotmail.com;(61) 35857945;;(61) 32748645;21/04/1998;Serviço de convivência e fortalecimento de vínculos com idosos e crianças, roda de conversa, artesanatos, atividades físicas, esportes e brincadeiras, reforço escolar, exibição de filmes e comentários, reunião com os familiares etc 
53;5300103401745;CENTRO DE CONVIVÊNCIA RIACHO FUNDO;28;QS 12 AREA ESPECIAL LOTE F;0;LOTE F;RIACHO FUNDO 1;71825226;BRASILIA;DF;coserfi@sedhs.df.gov.br;(61) 33992123;;;11/11/2009;UTILIZAMOS PERCURSOS TEMÁTICOS A CADA MÊS. DE ACORDO COM O TÓPICO PROPOSTO PARA O DIA, DESENVOLVEMOS A ATIVIDADE UTILIZANDO O RECURSO IDEAL, SEJA ELE PALESTRA, JOGOS DE PERCEPÇÃO, ATIVIDADES LÚDICAS, DINÂMICAS, ATIVIDADES EXTERNAS EM MUSEUS, PARQUES, CENTROS CULTURAIS, ATIVIDADES MANUAIS, RODAS DE CONVERSA, DENTRE OUTROS.
53;5300103401748;CENTRO DE CONVIVÊNCIA Lar Assistencial Maria de Nazaré - LAMANA;28;QS 608 Conjunto A;Lt1/3;;Samambaia Norte;72322541;BRASILIA;DF;lamana94@yahoo.com.br;(61) 30344118;;;10/01/1994;Acompanhamento e reforço escolar, aulas de arte marcial, aulas de dança, aulas de informática, aulas de música, campeonatos de lutas marciais, eventos culturais, família em foco, palestras educativas, passeios lúdicos, projeto ''bordado, sonhos entrelaçados'', visitas a espaços culturais e de experiência e convivência musical
53;5300103401749;CENTRO DE CONVIVÊNCIA CENTRO SOCIAL COMUNITARIO TIA ANGELINA/ALECRIM;28;Quadra 01 Conjunto 10 LT 09;9;SETOR NORTE;Setor Leste Estrutural;71258060;BRASILIA;DF;tianair.coordgeral@gmail.com;(61) 34654696;;;01/04/2014;A NOSSA JORNADA PEDAGÓGICA ABORDA TODAS AS ATIVIDADES DO ITEM 24 E SE DISTRIBUEM EM 4 MOMENTOS. 1. ACOLHIMENTO COM DINAMICAS DE INTEGRAÇÃO, LANCHE. 2. RODAS DE CONVERSA COM OFICINAS E ABORDAGEM DOS EIXOS E TEMAS TRANSVERSAIS. 3. OFICINAS E ATIVIDADES COM LEQUE DE OPÇÕES E . 4. AVALIAÇÃO DA JORNADA.
53;5300103401750;CENTRO DE CONVIVÊNCIA CENTRO SOCIAL COMUNITARIO TIA ANGELINA/ZILDA ARNS;28;Quadra 01 Conjunto D;5;SHIN;Varjão;71540400;BRASILIA;DF;crechetiaangelina@yahoo.com.br;(61) 34682480;;;02/10/2012;oficinas de dança, artes, culinaria,passeios, rodas de conversa.
53;5300103401755;CENTRO DE CONVIVÊNCIA INSTITUTO PROMOCIONAL MADALENA CAPUTO/CONGREGAÇÃO SÃO JOÃO BATISTA;28;Quadra 04 Conjunto A Area Especial;3;;Paranoá;71570401;BRASILIA;DF;madalenacaputo@yahoo.com.br;(61) 33694841;;;05/07/1995;"- Oficinas regulares: meio ambiente, corpo e movimento, apoio escolar, artes, leitura e esporte para as crianças de 6 a 13 anos no período do contra turno escolar
- Oficinas ocupacionais: cabeleireiro, manicure e pedicure, depilação para adolescentes de "
53;5300103401756;CENTRO DE CONVIVÊNCIA VIVER - ASSOCIAÇÃO DOS VOLUNTÁRIOS PRÓ-VIDA ESTRUTURADA;28;Quadra 06 area especial lote b;0;setor oeste;Cidade Estrutural;71300000;BRASILIA;DF;ass.viver@gmail.com;(61) 33619357;;;01/03/1997;As oficinas ofertadas são: hip hop, futebol, apoio pedagógico, informática, artes, lúdico, canto coral, violão, flauta, jiu jitsu, basquete, volei, queimada
53;5300103401758;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO LUDOCRIARTE- Brinquedoteca comunitária;28;QUADRA 103;1;CONJUNTO 05;São Sebastião;71692213;BRASILIA;DF;ludocriarte@gmail.com;(61) 33391976;;;18/01/2005;Atividades artísticas, artesanato, aulas de informática, jogos de tabuleiro, feitura, contação de histórias, atividades com fantoches, musicalização, bricadeiras de roda e dirigidas, dança, cultura da infância, parquinho etc.
53;5300103401760;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO SOCIOCULTURAL SÃO LUIS ORIONE DE ITAPOÃ;28;Quadra 378  Conjunto Q;3A;Del Lago;Itapoã;71590000;BRASILIA;DF;socioculturalasloi@gmail.com;(61) 41411288;0;;18/03/2013;reforço escolar, teatro, leitura, corte e costura, liolão, violino, canto e coral, informática e artes
53;5300103401761;CENTRO DE CONVIVÊNCIA OBRA SOCIAL SANTA ISABEL;28;quadra 5 lotes 03 e 04;3;SETOR TRADICIONAL;BRAZLÂNDIA;72720050;BRASILIA;DF;ossibrz@gmail.com;(61) 33911339;;;01/02/1992;SEGUIMOS O PLANO DE TRABALHO DESCRITO NO TERMO DE COLABORAÇÃO, COM ATIVIDADES DOARIAS DEFINIDAS, COM ESPORTE, GINÁSTICA, JOGOS COGNITIVOS, ALMOÇO, CAFÉ DA MANHA E LANCHE DA TARDE, OFICINAS DE ARTE E FORMAÇÃO DE RENDA, ATENDIMENTO PSICOSOCIAL, PASSEIOS, ATIVIDADES DE TEATRO, CANTO, PALESTRAS INFORMATIVAS DE SAÚDE, SEGURANÇA, DIREITOS DO IDOSO.
53;5300103407040;CENTRO DE CONVIVÊNCIA AÇÃO SOCIAL NOSSA SENHORA DO PERPÉTUO SOCORRO PROMOVIDA;32;Rua do CAIC;270;Centro;São Sebastião;71691047;BRASILIA;DF;promovida_4@hotmail.com;(61) 33357031;;(61) 33357031;01/08/1998;Auxílio às tarefas escolares, ações educativas, teatro, esporte, música (instrumento de sopro), aulas de violão,  artesanato, recreação
53;5300103407041;CENTRO DE CONVIVÊNCIA Projeto Vida Padre Gailhac;32;Rua Marginal do Agudo;481;São José;São Sebastião;71693063;BRASILIA;DF;projetovida@redesagradobrasilia.com.br;(61) 33392539;;;02/10/2004;Oficinas de artesanato, informática, capoeira, esportes e aprendizado (leitura, produções, teatro etc)
53;5300103407375;CENTRO DE CONVIVÊNCIA CENTRO SOCIAL FORMAR;33;SHA, conjunto 05, chacara 103;103;ARNIQUEIRA;AGUAS CLARAS;71995410;BRASILIA;DF;csformar@gmail.com;(61) 34011414;0;;26/08/1988;SÃO REALIZADAS OFICINAS DE ARTES PLÁSTICAS, RECREAÇÃO E JOGOS, LITERATURA, ALÉM DE COMPLEMENTAR AS AÇÕES DA FAMÍLIA E COMUNIDADE NA PROTEÇÃO E DESENVOLVIMENTO DE CRIANÇAS E ADOLESCENTES E NO FORTALECIMENTO DOS VÍNCULOS FAMILIARES E SOCIAIS.
53;5300103407376;CENTRO DE CONVIVÊNCIA CASA DE ISMAEL;33;SGAN 913;0;CONJUNTO G;ASA NORTE;70790140;BRASILIA;DF;convivencia@casadeismael.org;(61) 32724731;;;05/02/2004;oficinas que possibilitem a ampliação do repertório cultural das crianças e adolescentes , ações que fortaleçam os vínculos familiares e as ações preventivas que garantam a proteção das crianças e adolescentes.
53;5300103407377;CENTRO DE CONVIVÊNCIA Casas Lares Humberto de Campos;33;SGAS 909 Conjunto A módulo 29;29;W5 Sul;Asa Sul;70390090;BRASILIA;DF;clhc@geaef.org.br;(61) 32421713;0;;04/10/1987;são oferecidas oficinas de : dança, música, artes, inglês, espanhol, recreação, dever de Casa
53;5300103407381;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO DOS IDOSOS DE TAGUATINGA;33;CNL Área Especial A;1;Taguatinga Norte;Taguatinga;72150070;BRASILIA;DF;idososdetaguatinga@gmail.com;(61) 33361960;;;03/08/1992;"Diariamente, de segunda a sexta, com atividades, ginástica, capoterapia, dança, ioga, pilates, artesanato e alfabetização.
Obs: curso da UNISER (UNB) de terça a sexta das 14h às 17h"
53;5300103407382;CENTRO DE CONVIVÊNCIA - JOFRE MOZART PARADA;33;CNL 01 Projeção A, Área Especial;0;Atrás da feira Permanente;Taguatinga Norte;72150000;BRASILIA;DF;coseparada@sedestmidh.df.gov.br;(61) 33368431;;;11/11/2009;Oficinas socioeducativas que desenvolvam temas de cunho social, descritas no item 24, respeitando e cumprindo as normas técnicas previstas no caderno de orientações técnicas. 
53;5300103407777;CENTRO DE CONVIVÊNCIA GAMA OESTE;44;Entre quadras;13/17;Área Especial;Setor Oeste - Gama;72425135;BRASILIA;DF;cosegamaoeste@sedhs.df.gov.br;(61) 35566712;;(61) 35566712;11/11/2009;ATIVIDADES INTERGERACIONAIS (ADOLESCENTES E IDOSOS) ARTE E CULTURA, ATIVIDADES RECREATIVAS, PASSEIOS.
53;5300103407778;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO DAS OBRAS PAVONIANAS DE ASSISTÊNCIA;28;EQ. 48/49 Área Especial;0;Setor Leste;Gama;72455485;BRASILIA;DF;aopagama@yahoo.com.br;(61) 33851289;;;07/01/1991;Além de realizarmos as atividades da questão 24, realizamos também: encontros de família, visitas domiciliares, acompanhamento e encaminhamento a outras políticas públicas, eventos beneficentes e lanches
53;5300103410488;CENTRO DE CONVIVÊNCIA GAMA SUL;28;EQ 5\11 Área Especial ;0;Setor Sul;Gama;72410315;BRASILIA;DF;cosegamsul@sedestmidh.df.gov.br;(61) 33581326;;;01/07/2015;ATIVIDADES DE CONVIVÊNCIA, ATIVIDADES RECREATIVAS, OFICINAS DE MEIO AMBIENTE E ARTES PARA IDOSOS E PARA CRIANÇAS E ADOLESCENTES, OFICINAS DE ARTESANATO PARA IDOSOS, OFICINA DE BORDADO INTERGERACIONAL, OFICINA DE CAPOTERAPIA PARA IDOSOS, ATIVIDADES COMEMORATIVAS GERACIONAIS E INTERGERACIONAIS, PASSEIOS E ATIVIDADES CULTURAIS, PALESTRAS E ATIVIDADES DE CONSCIENTIZAÇÃO ACERCA DE TEMAS RELEVANTES, REUNIÕES DE CONVIVÊNCIA COM FAMÍLIAS.
53;5300103412708;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO BENÉFICA CRISTÃ PROMOTORA DO DESENVOLVIMENTO INTEGRAL - ABC PRODEIN;33;SETOR CENTRAL, ÁREA ESPECIAL;22;;CIDADE ESTRUTURAL;71225230;BRASILIA;DF;adminbrasil@prodein.org;(61) 32449231;;;11/06/2004;Reforço escolar, música, informática, artes, xadrez, curso de corte e costura para mulheres em situação de risco
53;5300103412726;CENTRO DE CONVIVÊNCIA PROJETO INTEGRAL DE VIDA - PRÓ-VIDA;3;NÚCLEO RURAL VARGEM DA BÊNÇÃO, CHÁCARA;29;;RECANTO DAS EMAS;72610350;BRASILIA;DF;provida76@hotmail.com;(61) 33312132;;;04/09/1987;"- escolinha de futebol
- atividades recreativas lúdicas
- atividades físicas (natação)"
53;5300103412814;CENTRO DE CONVIVÊNCIA CENTRO MURIALDO DA CRIANÇA E DO ADOLESCENTE - CEMEC;3;Avenida Goiás, quadra 44, lote 01, Planaltina;1;;Planaltina;73330078;BRASILIA;DF;cemec@yahoo.com.br;(61) 33884575;;;20/08/2004;Informatica,  apoio socioeducativo, lanche, recreação, oficina, artes e música, futebol, formação humana e cristã brinquedoteca, videoteca leitura e capoeira.
53;5300103412878;CENTRO DE CONVIVÊNCIA LEGIÃO DA BOA VONTADE - LBV;33;SGAS 915 LOTE;74;;ASA SUL;70390150;BRASILIA;DF;lbv@lbv.org.br;(61) 34106015;;;03/06/2013;Oficinas socioeducativas que estimulem os valores éticos, diversas linguagens da arte, desenvolve o conhecimento de forma ampla e integrada, atividades físicas e recreativas e diversas modalidades de esporte.
53;5300103412896;CENTRO DE CONVIVÊNCIA Associação Atlética Santa Maria;28;Entre Quadras - EQ 417/517;517;Salão de Multiplas Funções;Santa Maria;72547325;BRASILIA;DF;aasmassociacao@hotmail.com;(61) 33941235;;;21/12/1998;escolinha de futebol para meninos, e artesanato para as meninas, Curso profissionalizante de informática, curso profissionalizante de manicure e cabeleleiro
53;5300103412900;CENTRO DE CONVIVÊNCIA OBRAS SOCIAIS DO CENTRO ESPÍRITA FRATERNIDADE JERÔNIMO CANDINHO;28;QUADRA 12 ÁREA RESERVADA;3;;SOBRADINHO;73010120;BRASILIA;DF;diretoriaosjc@gmail.com;(61) 30513931;;;18/04/1986;As atividades descritas acima
53;5300103412910;CENTRO DE CONVIVÊNCIA INSPETORIA SÃO JOÃO BOSCO/CESAM-DF;28;QNN 31 LOTES I/J;0;;CEILÂNDIA NORTE;72225310;BRASILIA;DF;dircesamdf@salesiano.br;(61) 33799227;;;20/03/1979;"Estudo sócioeconômico. Acolhida institucional, acompanhamento escolar. Orientação e acompanhamento sócio familiar, visita domiciliar.
Orientação e encaminhamentos para rede socioassistencial, oficina de cidadania, oficina de inclusão digital, oficina socioestportivo, grupo de liderança jovem. Oficinas de conviência com as famílias, grupo de apoio e orientação às gestantes "
