IBGE7;IBGE;Região;UF;uf_s;Município;Municipio_2013;area;Pop_Total2010_MICRO;Porte_pop2010;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;NºIDENTIFICADOR;ident.0.1;ident.0.2;ident.0.3;ident.0t.4;ident.0.5;ident.0.6;ident.0.7;ident.0.8;ident.0.9;ident.0.10;ident.0.11;ident.0.12;ident.0.13;ident.0.14;ident.0.15;ident.0.16;Latitude;Longitude;q.1;q.2;q.3;q.4.1;q.4.2;q.4.3;q.4.0;q.4.99;q.5.1;q.5.2;q.5.99;q.5.0;q.5.99.1;q.6;q.7;q.9.1;q.9.2;q.9.3;q.9.4;q.10;q.11;q.12;q.13;q.13.1;q.14;q.14.99;q.15;q.16.1.1;q.16.1.2;q.16.1.3;q.16.1.4;q.16.1.5;q.16.1.6;q.16.1.7;q.16.2.1;q.16.2.2;q.16.2.3;q.16.2.4;q.16.2.5;q.16.2.6;q.16.2.7;q.17;q.17.99;q.18.1;q.18.1.99;q.18.2;q.18.2.99;q.19;q.19.99;q.20;q.21.1;q.21.2;q.21.3;q.21.4;q.21.5;q.21.6;q.21.7;q.21.8;q.21.9;q.22;q.23;q.24;q.25.1;q.25.2;q.25.3;q.25.4;q.25.5;q.25.6;q.25.7;q.25.8;q.25.9;q.25.10;q.25.11;q.25.12;q.25.13;q.25.14;q.25.15;q.25.16;q.25.17;q.25.18;q.25.19;q.25.20;q.25.21;q.25.22;q.25.23;q.25.24;q.25.25;q.25.0;q.26.1;q.26.2;q.26.3;q.26.98;q.26.99;q.26.0;q.26.98.1;q.27;q.28.0;q.29;q.31.4;q.32.4;D.5.99.1.recod;D.16.1.6.recod;D.16.2.7.recod;D.21.9.recod;D.13.faixa;D.14.faixa;D.15.faixa
1714880;171488;1;17;TO;Nova Olinda;Nova Olinda;1566,24;278707;Pequeno I;10686;7465;3221;1714883308556;UNIDADE DE ACOLHIMENTO;Avenida;Av. 31 de Março;0;;Centro;Pronto Atendimento;77790-000;Nova Olinda;TO;semas.social.noolinda@hotmail.com;(63) 3452-1858;;;06/fev/15;Família Acolhedora;-7636434785014660;-4842198371887200;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2015;Sim;937,0000;;3;;3;0;0;0;0;2;0;;0;0;0;0;0;1;;0;;0;;0;;0;;1;0;0;0;0;0;3;0;0;;Não possui critério de admissão;Sim, sempre que há demanda;Sim;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;;4;;2;1;99;;2,00;1,00;3,00;3,00;1,00;1,00
2102358;210235;2;21;MA;Buritirana;Buritirana;818,42;566866;Pequeno I;14784;4146;10638;2102353308494;Unidade de Acolhimento Familia Acolhedora;Avenida;SENADOR LA ROCQUE;0;;CENTRO;PRÓXIMO A PREFEITURA MUNICIPAL;65935-500;Buritirana;MA;scsnete@hotmail.com;(99) 98827-3582;;(99) 9882-7358;01/jan/17;Família Acolhedora;-5593;-47018;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2017;Não;;;6;;3;1;0;0;0;0;0;1;0;0;1;1;0;0;2;3;;;1;;1;;1;0;1;2;0;0;0;0;0;0;3;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;;3;;1;1;1;;1,00;2,00;3,00;;1,00;1,00
2107308;210730;2;21;MA;Nova Iorque;Nova Iorque;976,63;209338;Pequeno I;4590;2876;1714;2107303308560;Unidade de Acolhimento;Praça;PRAÇA DA MATRIZ SN;0;;CENTRO;;65880-000;Nova Iorque;MA;semasni@hotmail.com;(99) 99173-0116;;;18/nov/17;Família Acolhedora;-6734;-44044;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2017;Sim;468,0000;;2;;2;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;;0;;0;;0;;0;0;0;2;0;0;0;0;0;2;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;;3;;2;1;2;;0,00;2,00;2,00;2,00;1,00;1,00
2108009;210800;2;21;MA;Pastos Bons;Pastos Bons;1620,20;209338;Pequeno I;18067;12307;5760;2108003308201;Unidade de Acolhimento;Avenida;AVENIDA DOMINGOS SERTÃO;0;;SÃO JOSÉ;AO LADO DA DEFENSORIA PÚBLICA;65870-000;Pastos Bons;MA;semaspb@hotmail.com;(99) 98893-1456;;;04/jul/17;Família Acolhedora;-6602;-44077;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2016;Sim;468,0000;;5;;5;2;1;1;0;0;0;4;0;1;0;0;0;0;1;0;;0;;0;;0;;0;0;0;4;0;0;0;0;0;4;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;;3;;2;2;3;;4,00;1,00;4,00;2,00;1,00;1,00
2110708;211070;2;21;MA;São Domingos do Maranhão;São Domingos do Maranhão;1303,16;191024;Pequeno II;33607;17313;16294;2110703308173;Unidade de Acolhimento Família Acolhedora;Lagoa;JOSÉ TIBÚRCIO FEIO;14;;CENTRO;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;65790-000;São Domingos do Maranhão;MA;semas.saodomingos.ma@gmail.com;(98) 99200-0529;;;28/abr/17;Família Acolhedora;-5576;-44385;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2017;Sim;937,0000;;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;;3;;3;1;2;;0,00;0,00;0,00;3,00;1,00;1,00
2111201;211120;2;21;MA;São José de Ribamar;São José de Ribamar;386,28;1309330;Grande;163045;37709;125336;2111203307657;Unidade de Acolhimento;Rua;JOÃO ALVES CARNEIRO;8;;MOROPOIA;;65110-000;São José de Ribamar;MA;semas@sjr.ma.gov.br;(98) 3224-6803;;;16/jun/09;Família Acolhedora;-2552167973939960;-4.40619993209838E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2009;Sim;937,0000;;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;;3;;0;2;99;;0,00;0,00;0,00;3,00;1,00;1,00
2111300;211130;2;21;MA;São Luís;São Luís;827,14;1309330;Metrópole;1014837;958522;56315;2111303306232;UNIDADE DE ACOLHIMENTO FAMILIAR - FAMÍLIA ACOLHEDORA;Avenida;Senador Vitorino Freire;29;;Anel Viário;;65010-650;São Luís;MA;familiaacolhedora2013@gmail.com;(98) 98865-0288;;;01/set/06;Família Acolhedora;-2536540752232430;-443024754524231;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2006;Sim;937,0000;;7;;4;0;1;1;0;0;1;3;0;0;0;0;0;1;1;1;;0;;0;;0;;0;0;0;0;2;1;0;1;0;4;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;;3;;1;2;1;;3,00;1,00;4,00;3,00;1,00;1,00
2112209;211220;2;21;MA;Timon;Timon;1740,56;416327;Grande;155460;135133;20327;2112203307751;UNIDADE DE ACOLHIMENTO FAMILIAR-ABRAÇO ACOLHEDOR;Rua;Miguel Simão;825;;Centro;;65630-220;Timon;MA;familiaacolhedoratimon@gmail.com;(99) 3212-5430;;;04/abr/16;Família Acolhedora;-5100027645969420;-4.28278183937072E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2016;Sim;300,0000;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;;3;1;2;1;2;;0,00;0,00;0,00;2,00;1,00;1,00
2203909;220390;2;22;PI;Floriano;Floriano;3409,66;121544;Médio;57690;49970;7720;2203903306597;UNIDADE DE ACOLHIMENTO SERVIÇO DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;Praça;BANDEIRA;0;;CENTRO;;64800-000;Floriano;PI;rosanamota17@hotmail.com;(89) 3522-1813;;;28/mar/16;Família Acolhedora;-6772693458874340;-4302512168884270;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Não;2016;Não;;;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;1;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Não acolhe;Não;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;;3;1;2;1;2;;0,00;0,00;0,00;;1,00;1,00
2211001;221100;2;22;PI;Teresina;Teresina;1755,70;999256;Grande;814230;767557;46673;2211003306526;UNIDADE DE ACOLHIMENTO - CENTRO DE REINTEGRAÇÃO FAMILIAR E INCENTIVO A ADOÇÃO;Rua;São Pedro;1841;;centro Sul;;64000-126;Teresina;PI;criapiaui@gmail.com;(86) 3216-6276;;;15/jun/09;Família Acolhedora;-5089;-42802;Crianças/adolescentes;Não Governamental/Organização da Sociedade Civil;11047597000146;1;0;0;0;0;1;1;0;0;9999;Municipal;;;;;;Sim, por outro instrumento normativo;2009;Sim;600,0000;;8;;9;0;0;1;1;2;0;4;0;0;2;1;1;1;5;3;;3;;4;;4;;1;0;1;0;1;6;0;1;0;9;Não possui critério de admissão;Não acolhe;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;;3;;1;2;1;;4,00;5,00;9,00;3,00;1,00;1,00
2211001;221100;2;22;PI;Teresina;Teresina;1755,70;999256;Grande;814230;767557;46673;2211003307103;UNIDADE DE ACOLHIMENTO  SERVIÇO DE FAMÍLIA  ACOLHEDORA;Rua;PEREIRA DA COSTA;336;;DOS NOIVOS;;64046-080;Teresina;PI;partilhandocuidado1@outlook.com;(86) 3234-1652;;;19/abr/16;Família Acolhedora;-5089;-42802;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por decreto;2016;Sim;500,0000;;4;;4;0;0;2;0;0;0;2;0;1;0;1;0;0;2;0;;0;;0;;1;;0;0;1;2;1;0;0;0;0;4;Não possui critério de admissão;Não acolhe;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;;3;;1;1;1;;2,00;2,00;4,00;2,00;1,00;1,00
2300804;230080;2;23;CE;Antonina do Norte;Antonina do Norte;260,10;96702;Pequeno I;6984;4999;1985;2300803308550;UNIDADE DE ACOLHIMENTO PROGRAMA FAMÍLIA ACOLHEDORA;Rua;ANANIAS DE MATOS ARRAIS;250;PRÉDIO PÚBLICO;SERRARIA I;NA SAÍDA PARA ASSARÉ.;63570-000;Antonina do Norte;CE;semas-antonina@hotmail.com;(88) 3525-1552;;;18/jul/17;Família Acolhedora;-6773971933384440;-3998160839080810;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2017;Sim;655,9000;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;;3;;3;2;2;;0,00;0,00;0,00;3,00;1,00;1,00
2304285;230428;2;23;CE;Eusébio;Eusébio;76,58;3351112;Pequeno II;46033;46033;;2304283308390;Unidade de Acolhimento;Rua;Irmã Ambrosina;0;;Centro;;61760-000;Eusébio;CE;altacomplexidade.sdseusebio@gmail.com;(85) 3260-4945;;;01/fev/17;Família Acolhedora;-3891464875518290;-3845129013061520;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2017;Sim;937,0000;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;;;1;0;2;1;;0,00;0,00;0,00;3,00;1,00;1,00
2403103;240310;2;24;RN;Currais Novos;Currais Novos;864,34;118828;Pequeno II;42652;37777;4875;2403103307137;Unidade de Acolhimento Serviço de Família Acolhedora;Rua;DO PLUTÔNIO;95;;JK;;59380-000;Currais Novos;RN;familiaacolhedoracn@hotmail.com;(84) 3405-2724;;;01/fev/15;Família Acolhedora;-6253295915162270;-3.65231037139892E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2014;Sim;937,0000;;6;;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;4;;0;;1;;3;;0;0;0;3;0;0;0;0;0;3;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;;4;;0;2;1;;0,00;3,00;3,00;3,00;1,00;1,00
2404507;240450;2;24;RN;Guamaré;Guamaré;259,18;52508;Pequeno I;12404;4407;7997;2404503308271;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;Rua;MONSENHOR JOSÉ TIBURCIO;1;;CENTRO;;59598-000;Guamaré;RN;smasguamare@rn.gov.br;(84) 3525-2965;;;01/jul/15;Família Acolhedora;-5108;-36.32;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2015;Sim;937,0000;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;;3;1;1;1;2;;0,00;0,00;0,00;3,00;1,00;1,00
2411056;241105;2;24;RN;Tibau;Tibau;162,40;332679;Pequeno I;3687;2835;852;2411053306951;Unidade de Acolhimento em Família Acolhedora;Rua;Rua Pedro Francisco Nolasco;11;;Centro;;59678-000;Tibau;RN;familiaacolhedora@outlook.com;(84) 3326-2381;;;01/jun/15;Família Acolhedora;-4840778516378630;-3.7261912822723296E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2015;Sim;468,5000;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Não acolhe;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;;3;;1;1;2;;0,00;0,00;0,00;2,00;1,00;1,00
2411205;241120;2;24;RN;Santa Cruz;Santa Cruz;624,39;134027;Pequeno II;35797;30499;5298;2411203308342;Unidade de Acolhimento;Rua;Antônio Henrique de Medeiros;219;;Centro;;59200-000;Santa Cruz;RN;smassantacruz@gmail.com;(84) 3291-3121;;;25/set/15;Família Acolhedora;-6229;-36023;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2015;Sim;937,0000;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Não acolhe;Sim;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;;5;1;1;99;2;;0,00;0,00;0,00;3,00;1,00;1,00
