IBGE7;IBGE;UF;uf_s;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Pop_Total2010_MICRO;Porte_pop2010;Região;NºIDENTIFICADOR;data_nasc;ano;Idade;q.30.3;q.30.9;q.30.10;q.30.11;q.30.12;q.30.13;q.30.14;D30.2.FaixasEtarias;D30.9;D30.9bin1;D30.9bin2;D30.9bin3;D30.11;D30.10bin1;D30.10bin2;D30.10bin3;D30.10bin4;D30.10bin5;D30.11bin1;D30.11bin2;D30.11bin3;D30.11bin4;D30.9bin1_sum;D30.9bin2_sum;D30.9bin3_sum;D30.10bin1_sum;D30.10bin2_sum;D30.10bin3_sum;D30.10bin4_sum;D30.10bin5_sum;D30.11bin1_sum;D30.11bin2_sum;D30.11bin3_sum;D30.11bin4_sum;nu_trabalhadores
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;19-10-1982;1982;35;F;Médio Completo;Profissional de nível médio;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;30-11-1979;1979;38;F;Médio Completo;Profissional de nível médio;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;24-05-1985;1985;32;M;Médio Completo;Profissional de nível médio;Servidor Temporário;Orientador/Educador(a) Social;Maior que 40 horas semanais;02/01/2017;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1502301;150230;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;434556;Médio;1;1500000000000;23-04-1993;1993;24;F;Superior Completo;Psicólogo;Servidor Temporário;Técnico(a) de nível superior;20 horas semanais;29/05/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1502301;150230;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;434556;Médio;1;1500000000000;10-02-1994;1994;23;F;Superior Completo;Assistente Social;Servidor Temporário;Coordenador(a);30 horas semanais;16/08/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1502301;150230;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;434556;Médio;1;1500000000000;13-05-1983;1983;34;F;Superior Incompleto;Assistente Social;Servidor Temporário;Apoio Administrativo;20 horas semanais;02/01/2017;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;08-03-1989;1989;28;M;Superior Completo;Pedagogo;Servidor Temporário;Técnico(a) de nível superior;20 horas semanais;01/08/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;Pedagogo;;;;;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;08-10-1963;1963;54;F;Superior Completo;Assistente Social;Servidor Estatutário;Coordenador(a);20 horas semanais;02/01/2017;De 50 a 85 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;Assistente Social;;;;Servidor Estatutário;;;;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;23-06-1977;1977;40;M;Médio Completo;Profissional de nível médio;Servidor Estatutário;Apoio Administrativo;20 horas semanais;02/01/2017;De 40 a 49 anos;Nível Médio;;Nível Médio;;Servidor Estatutário;;;;;;Servidor Estatutário;;;;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;03-12-1981;1981;36;M;Superior Completo;Psicólogo;Servidor Temporário;Técnico(a) de nível superior;Menor que 20 horas semanais;03/07/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;06-05-1984;1984;33;F;Médio Completo;Profissional de nível médio;Servidor Estatutário;Serviços Gerais;40 horas semanais;02/01/2017;De 30 a 39 anos;Nível Médio;;Nível Médio;;Servidor Estatutário;;;;;;Servidor Estatutário;;;;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;31-01-1986;1986;31;F;Superior Completo;Advogado;Servidor Temporário;Técnico(a) de nível superior;20 horas semanais;02/01/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;Advogado;;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1503200;150320;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;382765;Pequeno II;1;1500000000000;21-02-1987;1987;30;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;20 horas semanais;01/08/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;1;4;0;1;2;3;0;0;7;10
1505106;150510;15;PA;Óbidos;Óbidos;28021,29;49333;25466;23867;184339;Pequeno II;1;1510000000000;27-12-1990;1990;27;M;Médio Completo;Profissional de nível médio;Servidor Temporário;Orientador/Educador(a) Social;30 horas semanais;04/01/2016;De 16 a 29 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1505106;150510;15;PA;Óbidos;Óbidos;28021,29;49333;25466;23867;184339;Pequeno II;1;1510000000000;13-11-1992;1992;25;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;40 horas semanais;03/10/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1505106;150510;15;PA;Óbidos;Óbidos;28021,29;49333;25466;23867;184339;Pequeno II;1;1510000000000;03-06-1988;1988;29;F;Superior Completo;Advogado;Servidor Temporário;Técnico(a) de nível superior;40 horas semanais;01/09/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;Advogado;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1505635;150563;15;PA;Piçarra;Piçarra;3312,49;12697;3581;9116;183190;Pequeno I;1;1510000000000;10-07-1984;1984;33;F;Superior Completo;Psicólogo;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;05/06/2015;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1505635;150563;15;PA;Piçarra;Piçarra;3312,49;12697;3581;9116;183190;Pequeno I;1;1510000000000;22-11-1985;1985;32;M;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;05/06/2015;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1506807;150680;15;PA;Santarém;Santarém;22887,08;294580;215790;78790;484523;Grande;1;1510000000000;25-08-1958;1958;59;F;Superior Incompleto;Outra formação de nível superior;Servidor Temporário;Apoio Administrativo;30 horas semanais;01/09/2017;De 50 a 85 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1506807;150680;15;PA;Santarém;Santarém;22887,08;294580;215790;78790;484523;Grande;1;1510000000000;24-08-1960;1960;57;F;Superior Incompleto;Assistente Social;Outro vínculo não permanente;Outros;20 horas semanais;15/09/2017;De 50 a 85 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1506807;150680;15;PA;Santarém;Santarém;22887,08;294580;215790;78790;484523;Grande;1;1510000000000;08-02-1973;1973;44;F;Superior Completo;Psicólogo;Servidor Temporário;Coordenador(a);30 horas semanais;02/01/2017;De 40 a 49 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1506807;150680;15;PA;Santarém;Santarém;22887,08;294580;215790;78790;484523;Grande;1;1510000000000;07-02-1982;1982;35;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;03/07/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1506807;150680;15;PA;Santarém;Santarém;22887,08;294580;215790;78790;484523;Grande;1;1510000000000;23-07-1986;1986;31;F;Superior Completo;Advogado;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;01/08/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;Advogado;;;;;Outros vínculos não permanentes;0;3;7;0;4;0;2;2;0;0;0;10;10
1702109;170210;17;TO;Araguaína;Araguaína;4000,40;150484;142925;7559;278707;Grande;1;1700000000000;18-09-1989;1989;28;F;Superior Completo;Psicólogo;Servidor Temporário;Técnico(a) de nível superior;40 horas semanais;17/01/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;0;3;0;1;0;0;1;0;0;0;3;3
1702109;170210;17;TO;Araguaína;Araguaína;4000,40;150484;142925;7559;278707;Grande;1;1700000000000;21-11-1986;1986;31;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;40 horas semanais;17/01/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;0;3;0;1;0;0;1;0;0;0;3;3
1702109;170210;17;TO;Araguaína;Araguaína;4000,40;150484;142925;7559;278707;Grande;1;1700000000000;11-10-1981;1981;36;F;Superior Completo;Outra formação de nível superior;Servidor Temporário;Coordenador(a);40 horas semanais;13/01/2015;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;0;3;0;1;0;0;1;0;0;0;3;3
1705508;170550;17;TO;Colinas do Tocantins;Colinas do Tocantins;843,84;30838;29607;1231;278707;Pequeno II;1;1710000000000;12-03-1967;1967;50;F;Superior Completo;Assistente Social;Servidor Temporário;Coordenador(a);Maior que 40 horas semanais;01/01/2017;De 50 a 85 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;0;4;0;3;0;0;0;1;0;0;3;4
1706100;170610;17;TO;Cristalândia;Cristalândia;1848,23;7234;5924;1310;116002;Pequeno I;1;1710000000000;15-04-1980;1980;37;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;02/01/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;0;4;0;3;0;0;0;1;0;0;3;4
1714880;171488;17;TO;Nova Olinda;Nova Olinda;1566,24;10686;7465;3221;278707;Pequeno I;1;1710000000000;22-10-1971;1971;46;F;Superior Completo;Assistente Social;Servidor Temporário;Coordenador(a);20 horas semanais;13/02/2017;De 40 a 49 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;0;4;0;3;0;0;0;1;0;0;3;4
1714880;171488;17;TO;Nova Olinda;Nova Olinda;1566,24;10686;7465;3221;278707;Pequeno I;1;1710000000000;04-04-1977;1977;40;F;Superior Completo;Outra formação de nível superior;Servidor Estatutário;Técnico(a) de nível superior;20 horas semanais;15/02/2015;De 40 a 49 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;;;;;Servidor Estatutário;;;;0;0;4;0;3;0;0;0;1;0;0;3;4
2102358;210235;21;MA;Buritirana;Buritirana;818,42;14784;4146;10638;566866;Pequeno I;2;2100000000000;13-11-1985;1985;32;F;Médio Completo;Profissional de nível médio;Outro vínculo não permanente;Coordenador(a);40 horas semanais;01/01/2017;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;1;0;0;0;0;0;0;0;0;0;1;1
2107308;210730;21;MA;Nova Iorque;Nova Iorque;976,63;4590;2876;1714;209338;Pequeno I;2;2110000000000;05-05-1992;1992;25;F;Superior Completo;Psicólogo;Outro vínculo não permanente;Técnico(a) de nível superior;20 horas semanais;18/10/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2107308;210730;21;MA;Nova Iorque;Nova Iorque;976,63;4590;2876;1714;209338;Pequeno I;2;2110000000000;30-09-1992;1992;25;M;Superior Completo;Advogado;Outro vínculo não permanente;Coordenador(a);Maior que 40 horas semanais;18/10/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;Advogado;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2108009;210800;21;MA;Pastos Bons;Pastos Bons;1620,20;18067;12307;5760;209338;Pequeno I;2;2110000000000;12-10-1991;1991;26;F;Superior Completo;Advogado;Outro vínculo não permanente;Técnico(a) de nível superior;30 horas semanais;04/10/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;Advogado;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2108009;210800;21;MA;Pastos Bons;Pastos Bons;1620,20;18067;12307;5760;209338;Pequeno I;2;2110000000000;03-04-1980;1980;37;F;Superior Completo;Advogado;Outro vínculo não permanente;Coordenador(a);20 horas semanais;01/07/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;Advogado;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2110708;211070;21;MA;São Domingos do Maranhão;São Domingos do Maranhão;1303,16;33607;17313;16294;191024;Pequeno II;2;2110000000000;29-04-1988;1988;29;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;28/04/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2110708;211070;21;MA;São Domingos do Maranhão;São Domingos do Maranhão;1303,16;33607;17313;16294;191024;Pequeno II;2;2110000000000;17-08-1986;1986;31;F;Especialização;Assistente Social;Servidor Temporário;Coordenador(a);20 horas semanais;28/04/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2110708;211070;21;MA;São Domingos do Maranhão;São Domingos do Maranhão;1303,16;33607;17313;16294;191024;Pequeno II;2;2110000000000;09-07-1989;1989;28;M;Superior Completo;Psicólogo;Servidor Estatutário;Técnico(a) de nível superior;30 horas semanais;28/04/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;;;;Psicólogo;Servidor Estatutário;;;;0;2;14;1;6;0;3;4;3;0;0;13;16
2111201;211120;21;MA;São José de Ribamar;São José de Ribamar;386,28;163045;37709;125336;1309330;Grande;2;2110000000000;20-07-1997;1997;20;F;Médio Completo;Profissional de nível médio;Outro vínculo não permanente;Apoio Administrativo;40 horas semanais;04/01/2017;De 16 a 29 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2111300;211130;21;MA;São Luís;São Luís;827,14;1014837;958522;56315;1309330;Metrópole;2;2110000000000;10-10-1985;1985;32;F;Superior Completo;Assistente Social;Servidor Temporário;Coordenador(a);40 horas semanais;02/01/2015;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2111300;211130;21;MA;São Luís;São Luís;827,14;1014837;958522;56315;1309330;Metrópole;2;2110000000000;21-10-1990;1990;27;F;Superior Completo;Psicólogo;Servidor Temporário;Técnico(a) de nível superior;20 horas semanais;01/08/2016;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;Psicólogo;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2111300;211130;21;MA;São Luís;São Luís;827,14;1014837;958522;56315;1309330;Metrópole;2;2110000000000;02-10-1963;1963;54;F;Superior Completo;Assistente Social;Servidor Temporário;Técnico(a) de nível superior;30 horas semanais;15/04/2016;De 50 a 85 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2111300;211130;21;MA;São Luís;São Luís;827,14;1014837;958522;56315;1309330;Metrópole;2;2110000000000;05-10-1966;1966;51;F;Superior Completo;Assistente Social;Servidor Estatutário;Técnico(a) de nível superior;30 horas semanais;02/02/2015;De 50 a 85 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;Assistente Social;;;;Servidor Estatutário;;;;0;2;14;1;6;0;3;4;3;0;0;13;16
2111300;211130;21;MA;São Luís;São Luís;827,14;1014837;958522;56315;1309330;Metrópole;2;2110000000000;28-04-1980;1980;37;F;Superior Completo;Pedagogo;Outro vínculo não permanente;Apoio Administrativo;30 horas semanais;02/01/2015;De 30 a 39 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;Pedagogo;;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2111300;211130;21;MA;São Luís;São Luís;827,14;1014837;958522;56315;1309330;Metrópole;2;2110000000000;01-10-1974;1974;43;M;Médio Completo;Profissional de nível médio;Outro vínculo não permanente;Motorista;30 horas semanais;02/01/2013;De 40 a 49 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2112209;211220;21;MA;Timon;Timon;1740,56;155460;135133;20327;416327;Grande;2;2110000000000;23-08-1967;1967;50;F;Especialização;Assistente Social;Outro vínculo não permanente;Técnico(a) de nível superior;30 horas semanais;01/09/2017;De 50 a 85 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;2;14;1;6;0;3;4;3;0;0;13;16
2112209;211220;21;MA;Timon;Timon;1740,56;155460;135133;20327;416327;Grande;2;2110000000000;16-01-1982;1982;35;M;Especialização;Psicólogo;Servidor Estatutário;Coordenador(a);30 horas semanais;03/01/2017;De 30 a 39 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;;;;Psicólogo;Servidor Estatutário;;;;0;2;14;1;6;0;3;4;3;0;0;13;16
2203909;220390;22;PI;Floriano;Floriano;3409,66;57690;49970;7720;121544;Médio;2;2200000000000;17-01-1969;1969;48;F;Especialização;Assistente Social;Outro vínculo não permanente;Técnico(a) de nível superior;Menor que 20 horas semanais;10/05/2017;De 40 a 49 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;0;2;0;1;0;0;0;0;0;0;2;2
2203909;220390;22;PI;Floriano;Floriano;3409,66;57690;49970;7720;121544;Médio;2;2200000000000;20-01-1996;1996;21;M;Superior Completo;Outra formação de nível superior;Servidor Temporário;Apoio Administrativo;Maior que 40 horas semanais;10/09/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;0;2;0;1;0;0;0;0;0;0;2;2
2211001;221100;22;PI;Teresina;Teresina;1755,70;814230;767557;46673;999256;Grande;2;2210000000000;20-08-1983;1983;34;M;Médio Completo;Profissional de nível médio;Terceirizado;Outros;30 horas semanais;11/03/2016;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;4;10;0;6;0;0;2;5;0;0;9;14
2211001;221100;22;PI;Teresina;Teresina;1755,70;814230;767557;46673;999256;Grande;2;2210000000000;04-01-1987;1987;30;F;Superior Completo;Assistente Social;Servidor Estatutário;Técnico(a) de nível superior;30 horas semanais;16/01/2014;De 30 a 39 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;Assistente Social;;;;Servidor Estatutário;;;;0;4;10;0;6;0;0;2;5;0;0;9;14
2211001;221100;22;PI;Teresina;Teresina;1755,70;814230;767557;46673;999256;Grande;2;2210000000000;20-03-1994;1994;23;F;Superior Incompleto;Profissional de nível médio;Servidor Estatutário;Apoio Administrativo;40 horas semanais;16/11/2015;De 16 a 29 anos;Nível Médio;;Nível Médio;;Servidor Estatutário;;;;;;Servidor Estatutário;;;;0;4;10;0;6;0;0;2;5;0;0;9;14
