UF;IBGE;Região;Pop_Total2010;Quant_municipios;q63_3;q63_4;q63_5;q63_6;q63_7;q63_8;q63_9;D63_2;D63_2_categoria;D63_4;D63_4bin1;D63_4bin2;D63_4bin3;D63_5bin1;D63_5bin2;D63_5bin3;D63_5bin4;D63_5bin1_TIT;D63_5bin1_SUPL;D63_5bin2_TIT;D63_5bin2_SUPL;D63_5bin3_TIT;D63_5bin3_SUPL;D63_5bin4_TIT;D63_5bin4_SUPL
PE;PE;Nordeste;8796448;185;F;Superior Completo;Governamental – Outras áreas;Conselheiro Suplente;Servidor/Estatutário;11/10/2014;11/10/2016;66;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
MT;MT;Centro-Oeste;3035122;141;F;Especialização;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Voluntario;5/15/2015;5/15/2017;66;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
RO;RO;Norte;1562409;52;F;Especialização;Governamental – Outras áreas;Conselheiro(a) Presidente;Servidor/Estatutário;9/24/2014;9/24/2016;65;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
ES;ES;Sudeste;3514952;78;F;Superior Completo;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Sem vínculo;06/10/2013;11/23/2015;65;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
RJ;RJ;Sudeste;15989929;92;F;Superior Completo;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Titular;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;9/22/2015;10/30/2016;65;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ;1; ; ; 
PR;PR;Sul;10444526;399;F;Superior Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Outro vínculo não permanente;6/26/2014;6/26/2016;65;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
AM;AM;Norte;3483985;62;F;Especialização;Governamental – Outras áreas;Conselheiro Suplente;Comissionado;06/03/2015;12/31/2018;65;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
RN;RN;Nordeste;3168027;167;F;Doutorado;Governamental - Assistência Social;Conselheiro Suplente;Servidor/Estatutário;8/28/2015;8/19/2017;65;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
PR;PR;Sul;10444526;399;M;Fundamental Incompleto;Sociedade Cívil - dos usuários;Conselheiro Suplente;Sem vínculo;6/26/2014;6/26/2016;65;50 anos ou mais;Nível fundamental;Nível fundamental; ; ;1; ; ; ; ;1; ; ; ; ; ; 
MS;MS;Centro-Oeste;2449024;79;M;Superior Completo;Governamental – Educação;Conselheiro Suplente;Servidor/Estatutário;9/21/2015;9/21/2017;65;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
PE;PE;Nordeste;8796448;185;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Vice-Presidente;Sem vínculo;11/10/2014;11/10/2016;64;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
PB;PB;Nordeste;3766528;223;F;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;9/14/2014;9/14/2016;64;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ;1; ; ; ; ; ; ; 
AL;AL;Nordeste;3120494;102;F;Superior Completo;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Sem vínculo;3/19/2015;3/19/2017;64;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
RS;RS;Sul;10693929;497;F;Mestrado;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Titular;Sem vínculo;11/17/2014;11/17/2016;64;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ;1; ; ; 
PE;PE;Nordeste;8796448;185;F;Superior Completo;Governamental – Outras áreas;Conselheiro Suplente;Servidor/Estatutário;11/10/2014;11/10/2016;64;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
PI;PI;Nordeste;3118360;224;F;Doutorado;Governamental - Assistência Social;Conselheiro(a) Presidente;Comissionado;10/14/2015;10/13/2017;63;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
PI;PI;Nordeste;3118360;224;F;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Sem vínculo;10/14/2015;10/13/2017;63;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
PE;PE;Nordeste;8796448;185;F;Especialização;Governamental – Outras áreas;Conselheiro Titular;Sem vínculo;11/10/2014;11/10/2016;63;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
AL;AL;Nordeste;3120494;102;F;Superior Completo;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Sem vínculo;3/19/2015;3/19/2017;63;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
SE;SE;Nordeste;2068017;75;F;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Outro vínculo não permanente;12/04/2014;12/04/2016;63;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ;1; ; ; ; ; ; ; 
MG;MG;Sudeste;19597330;853;F;Mestrado;Governamental – Outras áreas;Conselheiro Titular;Sem vínculo;7/23/2014;7/23/2016;63;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
MG;MG;Sudeste;19597330;853;M;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;11/10/2015;11/10/2017;63;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ;1; ; ; ; ; ; ; 
SP;SP;Sudeste;41262199;645;F;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Servidor/Estatutário;05/07/2013;3/31/2016;63;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
DF;DF;Centro-Oeste;2570160;1;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Sem vínculo;6/18/2015;6/18/2018;63;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
RS;RS;Sul;10693929;497;F;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Suplente;Sem vínculo;11/17/2014;11/17/2016;63;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ; ;1; ; ; ; ; ; 
GO;GO;Centro-Oeste;6003788;246;F;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Suplente;Empregado Público Celetista – CLT;01/01/2013;12/31/2015;63;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ; ;1; ; ; ; ; ; 
ES;ES;Sudeste;3514952;78;F;Médio Completo;Governamental – Outras áreas;Conselheiro Titular;Comissionado;06/10/2013;11/23/2015;62;50 anos ou mais;Nível Médio; ;Nível Médio; ; ; ; ;1; ; ; ; ; ; ;1; 
RJ;RJ;Sudeste;15989929;92;F;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Servidor/Estatutário;10/30/2014;10/30/2016;62;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
RJ;RJ;Sudeste;15989929;92;F;Superior Completo;Governamental – Educação;Conselheiro Titular;Servidor/Estatutário;05/05/2015;10/30/2016;62;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
PR;PR;Sul;10444526;399;F;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Comissionado;6/26/2014;6/26/2016;62;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
RS;RS;Sul;10693929;497;F;Médio Completo;Governamental – Outras áreas;Conselheiro Titular;Sem vínculo;11/17/2014;11/17/2016;62;50 anos ou mais;Nível Médio; ;Nível Médio; ; ; ; ;1; ; ; ; ; ; ;1; 
GO;GO;Centro-Oeste;6003788;246;M;Fundamental Completo;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Voluntario;01/01/2013;12/31/2015;62;50 anos ou mais;Nível fundamental;Nível fundamental; ; ;1; ; ; ;1; ; ; ; ; ; ; 
SP;SP;Sudeste;41262199;645;F;Superior Completo;Governamental – Educação;Conselheiro Suplente;Empregado Público Celetista – CLT;04/01/2014;3/31/2017;62;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
PR;PR;Sul;10444526;399;F;Especialização;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Suplente;Outro vínculo não permanente;6/26/2014;6/26/2016;62;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ; ;1; ; 
AC;AC;Norte;733559;22;M;Superior Completo;Sociedade Cívil - organizações de usuários;Vice-Presidente;Voluntario;9/30/2014;9/30/2016;61;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
AM;AM;Norte;3483985;62;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Empregado Público Celetista – CLT;06/03/2015;12/31/2018;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
RR;RR;Norte;450479;15;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Voluntario;10/29/2015;10/28/2017;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
SE;SE;Nordeste;2068017;75;M;Médio Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Outro vínculo não permanente;12/04/2014;12/04/2016;61;50 anos ou mais;Nível Médio; ;Nível Médio; ; ;1; ; ; ; ;1; ; ; ; ; 
ES;ES;Sudeste;3514952;78;F;Superior Completo;Governamental - Assistência Social;Conselheiro Titular;Sem vínculo;3/25/2015;11/23/2015;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
ES;ES;Sudeste;3514952;78;F;Mestrado;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;06/10/2013;11/23/2015;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
RS;RS;Sul;10693929;497;F;Superior Incompleto;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Sem vínculo;11/17/2014;11/17/2016;61;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ;1; ; ; ; ; ; ; 
RO;RO;Norte;1562409;52;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Sem vínculo;9/24/2014;9/24/2016;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
RR;RR;Norte;450479;15;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Sem vínculo;11/03/2015;11/02/2017;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
TO;TO;Norte;1383445;139;F;Superior Completo;Governamental – Educação;Conselheiro Suplente;Servidor/Estatutário;6/26/2014;6/26/2016;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
CE;CE;Nordeste;8452381;184;M;Fundamental Completo;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Suplente;Outro vínculo não permanente;6/27/2014;6/27/2016;61;50 anos ou mais;Nível fundamental;Nível fundamental; ; ; ; ;1; ; ; ; ; ; ;1; ; 
ES;ES;Sudeste;3514952;78;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;05/04/2015;11/23/2015;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
PR;PR;Sul;10444526;399;M;Fundamental Completo;Sociedade Cívil - dos usuários;Conselheiro Suplente;Sem vínculo;6/26/2014;6/26/2016;61;50 anos ou mais;Nível fundamental;Nível fundamental; ; ;1; ; ; ; ;1; ; ; ; ; ; 
PR;PR;Sul;10444526;399;M;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;6/26/2014;6/26/2016;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
SC;SC;Sul;6248436;295;M;Mestrado;Governamental - Assistência Social;Conselheiro Suplente;Servidor/Estatutário;03/10/2015;03/10/2017;61;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
PR;PR;Sul;10444526;399;M;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro(a) Presidente;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;6/26/2014;6/26/2016;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
PA;PA;Norte;7581051;144;F;Superior Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Servidor Temporário;5/29/2015;5/29/2017;60;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
MA;MA;Nordeste;6574789;217;F;Superior Completo;Governamental – Saúde;Conselheiro Titular;Servidor Temporário;05/05/2015;05/05/2017;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
CE;CE;Nordeste;8452381;184;M;Superior Completo;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Titular;Outro vínculo não permanente;6/27/2014;6/27/2016;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ;1; ; ; 
PE;PE;Nordeste;8796448;185;F;Superior Completo;Governamental – Educação;Conselheiro Titular;Servidor/Estatutário;11/10/2014;11/10/2016;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
AL;AL;Nordeste;3120494;102;M;Superior Completo;Governamental - Assistência Social;Conselheiro Titular;Comissionado;3/19/2015;3/19/2017;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
RS;RS;Sul;10693929;497;M;Especialização;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;11/05/2014;11/04/2016;60;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
DF;DF;Centro-Oeste;2570160;1;M;Especialização;Governamental – Outras áreas;Conselheiro Titular;Sem vínculo;04/09/2015;12/31/2018;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
CE;CE;Nordeste;8452381;184;F;Especialização;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Outro vínculo não permanente;6/27/2014;6/27/2016;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
CE;CE;Nordeste;8452381;184;F;Mestrado;Governamental - Assistência Social;Conselheiro Suplente;Servidor/Estatutário;6/27/2014;6/27/2016;60;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
