IBGE;UF_n;Região;Pop_Total2010;Quant_municipios;q81.3;q81.5;q81.6;q81.7;q81.8;q81.9;Idade;Faixas.etarias;TempoMandato;d81.5;d81.5bin1;d81.5bin2;d81.5bin3;d81.6bin1;d81.6bin2;d81.6bin3;d81.6bin4;d81.6bin1.TIT;d81.6bin1.SUPL;d81.6bin2.TIT;d81.6bin2.SUPL;d81.6bin3.TIT;d81.6bin3.SUPL;d81.6bin4.TIT;d81.6bin4.SUPL;d81.6bin1.sum;d81.6bin2.sum;d81.6bin3.sum;d81.6bin4.sum;d81.6bin1.TIT.sum;d81.6bin1.SUPL.sum;d81.6bin2.TIT.sum;d81.6bin2.SUPL.sum;d81.6bin3.TIT.sum;d81.6bin3.SUPL.sum;d81.6bin4.TIT.sum;d81.6bin4.SUPL.sum;nu.conselheiros
11;RO;Norte;1562409;52;F;257;Sociedade Civil - organizacoes dos usuarios;Conselheiro Suplente;31/mar/17;31/mar/19;54;51 a 60 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Titular;31/mar/17;31/mar/19;44;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Governamental Educacao;Conselheiro Suplente;31/mar/17;31/mar/19;41;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;255;Governamental Outras areas;Conselheiro Suplente;31/mar/17;31/mar/19;35;30 a 40 anos;2;Nível Médio;;Nível Médio;;;;;Representante do Governo;;;;;;;;1,00;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;255;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;31/mar/17;31/mar/19;37;30 a 40 anos;2;Nível Médio;;Nível Médio;;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Governamental Assistencia Social;Conselheiro Suplente;31/mar/17;31/mar/19;32;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;M;257;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Suplente;31/mar/17;31/mar/19;31;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
12;AC;Norte;733559;22;M;258;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;30/set/16;30/set/18;25;18 a 29 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Educacao;Conselheiro Titular;16/mar/16;16/mar/18;61;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Titular;16/mar/16;16/mar/18;57;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;30/set/16;30/set/18;62;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Suplente;30/set/16;30/set/18;59;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;258;Sociedade Civil - dos usuarios;Conselheiro Titular;16/mar/16;16/mar/18;52;51 a 60 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;257;Governamental Outras areas;Conselheiro Titular;16/mar/16;16/mar/18;52;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;30/set/16;30/set/18;48;41 a 50 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Sociedade Civil - dos usuarios;Vice-Presidente;30/set/16;30/set/18;50;41 a 50 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;258;Governamental Outras areas;Conselheiro Titular;16/mar/16;16/mar/18;47;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Titular;16/mar/16;16/mar/18;46;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Suplente;16/mar/16;16/mar/18;48;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Suplente;30/set/16;30/set/18;46;41 a 50 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;255;Sociedade Civil - dos usuarios;Conselheiro Titular;30/set/16;30/set/18;47;41 a 50 anos;2;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;258;Governamental Outras areas;Conselheiro Suplente;16/mar/16;16/mar/18;45;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;255;Sociedade Civil - organizacoes dos usuarios;Conselheiro Titular;30/set/16;30/set/18;43;41 a 50 anos;2;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;252;Sociedade Civil - dos usuarios;Conselheiro Titular;30/set/16;30/set/18;74;Mais de 60 anos;2;Nível fundamental;Nível fundamental;;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Saude;Conselheiro Titular;16/mar/16;16/mar/18;38;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;258;Governamental Assistencia Social;Conselheiro(a) Presidente;16/mar/16;16/mar/18;49;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Saude;Conselheiro Suplente;16/mar/16;16/mar/18;40;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;258;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Titular;30/set/16;30/set/18;45;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;255;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Suplente;30/set/16;30/set/18;55;51 a 60 anos;2;Nível Médio;;Nível Médio;;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Suplente;16/mar/16;16/mar/18;36;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;258;Governamental Assistencia Social;Conselheiro Suplente;16/mar/16;16/mar/18;50;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Titular;30/set/16;30/set/18;39;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Suplente;16/mar/16;16/mar/18;38;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Titular;16/mar/16;16/mar/18;37;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Sociedade Civil - dos usuarios;Conselheiro Suplente;30/set/16;30/set/18;36;30 a 40 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;257;Governamental Outras areas;Conselheiro Suplente;16/mar/16;16/mar/18;57;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;M;258;Governamental Outras areas;Conselheiro Suplente;16/mar/16;16/mar/18;54;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
12;AC;Norte;733559;22;F;255;Sociedade Civil - dos usuarios;Conselheiro Titular;30/set/16;30/set/18;33;30 a 40 anos;2;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;7,00;5,00;3,00;16,00;6,00;1,00;3,00;2,00;2,00;1,00;8,00;8,00;31
13;AM;Norte;3483985;62;M;258;Sociedade Civil - organizacoes dos usuarios;Conselheiro Titular;31/mai/17;31/mai/19;71;Mais de 60 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;256;Sociedade Civil - organizacoes dos usuarios;Conselheiro Titular;31/mai/17;31/mai/19;27;18 a 29 anos;2;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Educacao;Conselheiro Suplente;31/mai/17;31/mai/19;68;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Outras areas;Conselheiro Suplente;31/mai/17;31/mai/19;68;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Outras areas;Conselheiro Suplente;31/mai/17;31/mai/19;67;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Vice-Presidente;31/mai/17;31/mai/19;63;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Titular;31/mai/17;31/mai/19;69;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Outras areas;Conselheiro Titular;31/mai/17;31/mai/19;57;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;31/mai/17;31/mai/19;54;51 a 60 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Governamental Outras areas;Conselheiro Suplente;31/mai/17;31/mai/19;50;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;31/mai/17;31/mai/19;52;51 a 60 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Assistencia Social;Conselheiro Titular;31/mai/17;31/mai/19;54;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - organizacoes dos usuarios;Conselheiro Suplente;31/mai/17;31/mai/19;46;41 a 50 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Governamental Assistencia Social;Conselheiro Suplente;31/mai/17;31/mai/19;49;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Suplente;31/mai/17;31/mai/19;43;41 a 50 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Educacao;Conselheiro Titular;31/mai/17;31/mai/19;46;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;255;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Suplente;31/mai/17;31/mai/19;55;51 a 60 anos;2;Nível Médio;;Nível Médio;;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Governamental Outras areas;Conselheiro Titular;31/mai/17;31/mai/19;45;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Assistencia Social;Conselheiro Suplente;31/mai/17;31/mai/19;46;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Sociedade Civil - organizacoes dos usuarios;Conselheiro Suplente;31/mai/17;31/mai/19;34;30 a 40 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;257;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Titular;03/jul/17;31/mai/19;34;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Suplente;08/ago/17;31/mai/19;29;18 a 29 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Outras areas;Conselheiro(a) Presidente;31/mai/17;31/mai/19;43;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;M;258;Governamental Assistencia Social;Conselheiro Titular;31/mai/17;31/mai/19;41;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;M;258;Governamental Outras areas;Conselheiro Titular;31/mai/17;31/mai/19;41;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;258;Governamental Outras areas;Conselheiro Suplente;31/mai/17;31/mai/19;50;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;M;261;Governamental Outras areas;Conselheiro Suplente;31/mai/17;31/mai/19;39;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;260;Governamental Saude;Conselheiro Suplente;31/mai/17;31/mai/19;41;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;F;260;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Suplente;31/mai/17;31/mai/19;38;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;M;255;Sociedade Civil - organizacoes dos usuarios;Conselheiro Titular;31/mai/17;31/mai/19;38;30 a 40 anos;2;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;M;258;Governamental Saude;Conselheiro Titular;31/mai/17;31/mai/19;45;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
13;AM;Norte;3483985;62;M;258;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro Suplente;31/mai/17;31/mai/19;35;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;17,00;3,00;2,00;3,00;3,00;3,00;4,00;8,00;9,00;35
