UF;UF;Região;Pop_Total2010;Quant_municipios;q53_2;q53_3;q53_4;q53_5;q53_6;q53_7;q53_8;q53_9;REPRESENTAÇÃO;D53_2;D53_2_categoria;D53_4;D53_4bin1;D53_4bin2;D53_4bin3;D53_5bin1;D53_5bin2;D53_5bin3;D53_5bin4;D53_5bin1_TIT;D53_5bin1_SUPL;D53_5bin2_TIT;D53_5bin2_SUPL;D53_5bin3_TIT;D53_5bin3_SUPL;D53_5bin4_TIT;D53_5bin4_SUPL;D53_5bin1_sum;D53_5bin2_sum;D53_5bin3_sum;D53_5bin4_sum;D53_5bin1_TIT_sum;D53_5bin1_SUPL_sum;D53_5bin2_TIT_sum;D53_5bin2_SUPL_sum;D53_5bin3_TIT_sum;D53_5bin3_SUPL_sum;D53_5bin4_TIT_sum;D53_5bin4_SUPL_sum;nu_conselheiros
12;AC;Norte;733559;22;28/02/1969;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;5;47;De 40 a 49 anos;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;22/03/1967;F;Superior Completo;Sociedade Civil  dos usuários;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;6;49;De 40 a 49 anos;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;14/04/1980;M;Superior Completo;Governamental  Saúde;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;3;36;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;11/10/1970;F;Superior Completo;Governamental  Outras áreas;Conselheiro Titular;Voluntário;16/03/2016;16/03/2018;4;46;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;04/02/1973;F;Superior Completo;Governamental  Outras áreas;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;4;43;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;06/10/1970;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Suplente;Voluntário;30/09/2016;30/09/2018;5;46;De 40 a 49 anos;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;01/03/1970;F;Médio Completo;Sociedade Civil  dos usuários;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;6;46;De 40 a 49 anos;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;26/11/1971;F;Especialização;Governamental  Outras áreas;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;4;45;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;01/02/1973;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Suplente;Voluntário;30/09/2016;30/09/2018;5;43;De 40 a 49 anos;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;25/06/1974;M;Médio Completo;Sociedade Civil  organizações dos usuários;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;8;42;De 40 a 49 anos;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;20/01/1975;F;Superior Incompleto;Governamental  Assistência Social;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;1;41;De 40 a 49 anos;Nível Médio;;Nível Médio;;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;03/10/1942;M;Fundamental Incompleto;Sociedade Civil  dos usuários;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;6;74;50 anos ou mais;Nível fundamental;Nível fundamental;;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;11/06/1968;F;Especialização;Governamental  Assistência Social;Conselheiro Titular;Voluntário;16/03/2016;16/03/2018;1;48;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;03/07/1972;F;Especialização;Sociedade Civil  organizações dos trabalhadores;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;7;44;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;10/03/1967;F;Especialização;Governamental  Assistência Social;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;1;49;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;24/11/1977;F;Superior Completo;Sociedade Civil  organizações dos trabalhadores;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;7;39;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;05/01/1980;F;Superior Completo;Sociedade Civil  organizações dos trabalhadores;Conselheiro Suplente;Voluntário;30/09/2016;30/09/2018;7;36;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;01/10/1959;F;Superior Completo;Governamental  Outras áreas;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;4;57;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;11/03/1985;F;Médio Completo;Governamental  Outras áreas;Conselheiro Titular;Voluntário;16/03/2016;16/03/2018;4;31;De 30 a 39 anos;Nível Médio;;Nível Médio;;;;;Representante do Governo;;;;;;;1,00;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;22/05/1963;M;Especialização;Governamental  Outras áreas;Conselheiro Suplente;Voluntário;16/03/2016;16/03/2018;4;53;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;16/11/1983;F;Médio Completo;Sociedade Civil  dos usuários;Conselheiro Titular;Voluntário;30/09/2016;30/09/2018;6;33;De 30 a 39 anos;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;24/01/1991;F;Superior Completo;Governamental  Saúde;Conselheiro Titular;Voluntário;16/03/2016;16/03/2018;3;25;Até 29 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
13;AM;Norte;3483985;62;22/09/1945;M;Especialização;Sociedade Civil  organizações dos usuários;Conselheiro Titular;Voluntário;03/06/2015;03/06/2017;8;71;50 anos ou mais;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;21/11/1948;F;Especialização;Governamental  Educação;Conselheiro Suplente;Servidor Estatutário;03/06/2015;03/06/2017;2;68;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;14/07/1949;F;Especialização;Governamental  Outras áreas;Conselheiro Suplente;Servidor Estatutário;03/06/2015;03/06/2017;4;67;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;04/06/1950;F;Especialização;Governamental  Outras áreas;Conselheiro Suplente;Comissionado;03/06/2015;03/06/2017;4;66;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;23/02/1954;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Titular;Empregado Público Celetista  CLT;03/06/2015;03/06/2017;5;62;50 anos ou mais;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;26/07/1948;F;Superior Completo;Sociedade Civil  organizações dos trabalhadores;Conselheiro Titular;Voluntário;03/06/2015;03/06/2017;7;68;50 anos ou mais;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;12/02/1960;M;Superior Completo;Governamental  Outras áreas;Conselheiro Titular;Comissionado;03/06/2015;03/06/2017;4;56;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;21/07/1960;F;Especialização;Governamental  Outras áreas;Conselheiro Titular;Servidor Estatutário;03/06/2015;03/06/2017;4;56;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;08/08/1960;F;Especialização;Governamental  Outras áreas;Conselheiro Suplente;Servidor Estatutário;03/06/2015;03/06/2017;4;56;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;31/03/1963;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Titular;Voluntário;03/06/2015;03/06/2017;5;53;50 anos ou mais;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;02/08/1967;F;Superior Completo;Governamental  Outras áreas;Conselheiro Suplente;Comissionado;03/06/2015;03/06/2017;4;49;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;17/02/1965;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Titular;Voluntário;03/06/2015;03/06/2017;5;51;50 anos ou mais;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;31/10/1968;F;Especialização;Governamental  Outras áreas;Conselheiro Titular;Servidor Estatutário;03/06/2015;03/06/2017;4;48;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;18/07/1963;F;Especialização;Governamental  Assistência Social;Conselheiro Titular;Servidor Estatutário;03/06/2015;03/06/2017;1;53;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;07/04/1971;F;Superior Completo;Sociedade Civil  organizações dos usuários;Conselheiro Suplente;Outro vínculo não permanente;03/06/2015;03/06/2017;8;45;De 40 a 49 anos;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;13/02/1968;F;Superior Completo;Governamental  Assistência Social;Conselheiro Suplente;Comissionado;03/06/2015;03/06/2017;1;48;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;28/03/1964;F;Mestrado;Sociedade Civil  organizações dos trabalhadores;Conselheiro Presidente;Voluntário;03/06/2015;03/06/2017;7;52;50 anos ou mais;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;09/12/1973;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Suplente;Voluntário;03/06/2015;03/06/2017;5;43;De 40 a 49 anos;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;29/10/1970;F;Especialização;Governamental  Educação;Conselheiro Titular;Servidor Estatutário;03/06/2015;03/06/2017;2;46;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;21/08/1962;F;Médio Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Suplente;Voluntário;03/06/2015;03/06/2017;5;54;50 anos ou mais;Nível Médio;;Nível Médio;;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;23/04/1972;F;Superior Completo;Governamental  Outras áreas;Conselheiro Titular;Comissionado;03/06/2015;03/06/2017;4;44;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;25/12/1970;F;Especialização;Governamental  Assistência Social;Vice-Presidente;Comissionado;03/06/2015;03/06/2017;1;46;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;22/09/1981;F;Especialização;Sociedade Civil  organizações dos trabalhadores;Conselheiro Titular;Comissionado;03/06/2015;03/06/2017;7;35;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;22/05/1983;F;Especialização;Sociedade Civil  organizações dos usuários;Conselheiro Suplente;Voluntário;03/06/2015;03/06/2017;8;33;De 30 a 39 anos;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;23/03/1976;F;Superior Completo;Governamental  Assistência Social;Conselheiro Suplente;Servidor Estatutário;03/06/2015;03/06/2017;1;40;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;24/01/1974;F;Especialização;Governamental  Outras áreas;Conselheiro Titular;Comissionado;03/06/2015;03/06/2017;4;42;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;12/11/1966;F;Especialização;Governamental  Outras áreas;Conselheiro Suplente;Comissionado;03/06/2015;03/06/2017;4;50;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;02/06/1979;F;Superior Completo;Sociedade Civil  organizações dos trabalhadores;Conselheiro Suplente;Servidor Estatutário;03/06/2015;03/06/2017;7;37;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;18/04/1976;F;Mestrado;Governamental  Saúde;Conselheiro Suplente;Servidor Estatutário;03/06/2015;03/06/2017;3;40;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;01/07/1979;F;Mestrado;Sociedade Civil  organizações dos trabalhadores;Conselheiro Suplente;Voluntário;03/06/2015;03/06/2017;7;37;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;19/03/1979;M;Médio Completo;Sociedade Civil  organizações dos usuários;Conselheiro Titular;Voluntário;03/06/2015;03/06/2017;8;37;De 30 a 39 anos;Nível Médio;;Nível Médio;;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;30/09/1971;M;Especialização;Governamental  Saúde;Conselheiro Titular;Servidor Estatutário;03/06/2015;03/06/2017;3;45;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;29/04/1982;M;Especialização;Sociedade Civil  organizações dos trabalhadores;Conselheiro Suplente;Sem vínculo;03/06/2015;03/06/2017;7;34;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;17/12/1986;F;Especialização;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Suplente;Outro vínculo não permanente;03/06/2015;03/06/2017;5;30;De 30 a 39 anos;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;21/05/1985;F;Especialização;Sociedade Civil  organizações dos trabalhadores;Conselheiro Suplente;Voluntário;03/06/2015;03/06/2017;7;31;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
13;AM;Norte;3483985;62;11/12/1993;M;Superior Completo;Sociedade Civil  organizações dos usuários;Conselheiro Titular;Trabalhador de empresa Cooperativa Entidade Prestadora de Serviço;03/06/2015;03/06/2017;8;23;Até 29 anos;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;5,00;6,00;7,00;18,00;3,00;2,00;3,00;3,00;3,00;4,00;9,00;9,00;36
14;RR;Norte;450479;15;01/06/1984;M;Superior Completo;Governamental  Assistência Social;Conselheiro Suplente;Servidor Estatutário;31/03/2016;30/03/2018;1;32;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;2,00;8,00;1,00;11,00;1,00;1,00;4,00;4,00;1,00;0,00;6,00;5,00;22
14;RR;Norte;450479;15;26/09/1951;M;Especialização;Governamental  Assistência Social;Conselheiro Titular;Servidor Estatutário;31/03/2016;30/03/2018;1;65;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;2,00;8,00;1,00;11,00;1,00;1,00;4,00;4,00;1,00;0,00;6,00;5,00;22
14;RR;Norte;450479;15;29/09/1979;F;Especialização;Governamental  Outras áreas;Conselheiro Titular;Servidor Estatutário;14/05/2015;14/05/2017;4;37;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;2,00;8,00;1,00;11,00;1,00;1,00;4,00;4,00;1,00;0,00;6,00;5,00;22
