NU_IDENTIFICADOR;IBGE;IBGE7;Região;UF;Municipio;Pop_Total2010;Porte_pop2010;co_seq_dirigente;q39_2;q39_3;q39_6;q39_7;q39_8;q39_9;q39_10;q39_11;q39_12_1;q39_12_2;q39_12_3;D39_2;D39_2categoria;D39_6;D39_8;D39_6bin1;D39_6bin2;D39_6bin3;D39_8bin1;D39_8bin2;D39_8bin3;D39_8bin4;D39_7bin1;D39_7bin2;D39_7bin3;D39_7bin4;D39_7bin5
52014096138;520140;5201405;Região Centro-Oeste;GO;Aparecida de Goiânia;455657;Grande;993664;1/8/1969;F;Especialização;Fisioterapeuta;Servidor Temporário;Educador(a) Social;30 horas semanais;7/17/2014;Outros; ; ;46;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
26000598114;260005;2600054;Região Nordeste;PE;Abreu e Lima;94429;Médio;919752;7/4/1989;F;Superior Completo;Sociologo;Outro vínculo não permanente;Coordenador(a);30 horas semanais;10/1/2014;Serviço Especializado para Pessoas em Situação de Rua;Atividades de gestão (administrativo);Outros;26;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
24032597564;240325;2403251;Região Nordeste;RN;Parnamirim;202456;Grande;1097639;9/15/1987;F;Superior Completo;Sociologo;Outro vínculo não permanente;Técnico de nível superior;40 horas semanais;1/2/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;28;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
26116097090;261160;2611606;Região Nordeste;PE;Recife;1537704;Metrópole;702560;5/30/1984;F;Superior Completo;Sociologo;Servidor Estatutário;Educador(a) Social;40 horas semanais;7/1/2014;Serviço de Abordagem Social; ; ;31;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
32050097330;320500;3205002;Região Sudeste;ES;Serra;409267;Grande;997168;5/15/1984;F;Superior Completo;Sociologo;Trabalhador de Empresa/Cooperativa/Entidade Prestadora de Serviços;Outros;30 horas semanais;9/1/2014;Serviço Especializado para Pessoas em Situação de Rua; ; ;31;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
31062094300;310620;3106200;Região Sudeste;MG;Belo Horizonte;2375151;Metrópole;294181;7/27/1982;F;Superior Completo;Sociologo;Trabalhador de Empresa/Cooperativa/Entidade Prestadora de Serviços;Educador(a) Social;40 horas semanais;7/1/2008;Serviço Especializado para Pessoas em Situação de Rua; ; ;33;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
33033096728;330330;3303302;Região Sudeste;RJ;Niterói;487562;Grande;1073858;4/13/1982;M;Mestrado;Sociologo;Servidor Temporário;Técnico de nível superior;30 horas semanais;5/15/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;33;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
35095097312;350950;3509502;Região Sudeste;SP;Campinas;1080113;Metrópole;869620;3/5/1981;M;Mestrado;Sociologo;Servidor Estatutário;Técnico de nível superior;30 horas semanais;7/22/2013;Serviço Especializado para Pessoas em Situação de Rua; ; ;34;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
26116097090;261160;2611606;Região Nordeste;PE;Recife;1537704;Metrópole;702546;8/14/1979;F;Superior Completo;Sociologo;Servidor Estatutário;Educador(a) Social;40 horas semanais;10/7/2005;Serviço de Abordagem Social; ; ;36;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
35503096298;355030;3550308;Região Sudeste;SP;São Paulo;11253503;Metrópole;520365;1/25/1978;F;Superior Completo;Sociologo;Servidor Estatutário;Técnico de nível superior;40 horas semanais;1/26/2012;Serviço Especializado para Pessoas em Situação de Rua; ; ;37;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
41152096128;411520;4115200;Região Sul;PR;Maringá;357077;Grande;334132;12/19/1976;M;Superior Completo;Sociologo;Servidor Estatutário;Técnico(a) de nível médio;40 horas semanais;9/29/2009;Serviço de Abordagem Social; ;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico);39;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
26116097090;261160;2611606;Região Nordeste;PE;Recife;1537704;Metrópole;863572;4/22/1975;M;Superior Completo;Sociologo;Servidor Estatutário;Educador(a) Social;40 horas semanais;12/5/2013;Serviço Especializado para Pessoas em Situação de Rua; ; ;40;De 40 a 49 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
35032097284;350320;3503208;Região Sudeste;SP;Araraquara;208662;Grande;257309;2/23/1974;F;Superior Completo;Sociologo;Empregado Público (CLT);Educador(a) Social;40 horas semanais;6/18/2012;Serviço de Abordagem Social;Serviço Especializado para Pessoas em Situação de Rua; ;41;De 40 a 49 anos;Nível Superior;Empregado Público (CLT); ; ;Nível Superior; ;Empregado Público (CLT); ; ; ; ; ; ; 
13548903039;354890;3548906;Região Sudeste;SP;São Carlos;221950;Grande;730259;10/1/1974;F;Superior Completo;Sociologo;Empregado Público (CLT);Técnico de nível superior;30 horas semanais;5/17/2012;Serviço de Abordagem Social; ; ;41;De 40 a 49 anos;Nível Superior;Empregado Público (CLT); ; ;Nível Superior; ;Empregado Público (CLT); ; ; ; ; ; ; 
41037097756;410370;4103701;Região Sul;PR;Cambé;96733;Médio;1017628;5/8/1974;F;Superior Completo;Sociologo;Servidor Estatutário;Educador(a) Social;30 horas semanais;1/14/2015;Serviço Especializado para Pessoas em Situação de Rua;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico);Serviço de Abordagem Social;41;De 40 a 49 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
41152096128;411520;4115200;Região Sul;PR;Maringá;357077;Grande;351841;3/8/1974;M;Superior Completo;Sociologo;Servidor Estatutário;Técnico(a) de nível médio;30 horas semanais;2/15/2012;Serviço Especializado para Pessoas em Situação de Rua; ; ;41;De 40 a 49 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
16003097968;160030;1600303;Região Norte;AP;Macapá;398204;Grande;1007584;8/8/1967;F;Superior Completo;Sociologo;Servidor Temporário;Técnico de nível superior;Maior que 40 horas semanais;9/17/2014;Serviço Especializado para Pessoas em Situação de Rua; ; ;48;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
35503096002;355030;3550308;Região Sudeste;SP;São Paulo;11253503;Metrópole;551835;8/1/1964;F;Superior Completo;Sociologo;Servidor Estatutário;Técnico de nível superior;40 horas semanais;3/14/2011;Serviço Especializado para Pessoas em Situação de Rua; ; ;51;50 anos ou mais;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
11002096408;110020;1100205;Região Norte;RO;Porto Velho;428527;Grande;281282;8/23/1963;F;Superior Completo;Sociologo;Comissionado;Coordenador(a);40 horas semanais;4/8/2015;Serviço Especializado para Pessoas em Situação de Rua;Atividades de gestão (administrativo);Outros;52;50 anos ou mais;Nível Superior;Comissionado; ; ;Nível Superior; ; ;Comissionado; ; ; ; ; ; 
35541097994;355410;3554102;Região Sudeste;SP;Taubaté;278686;Grande;402478;6/1/1956;M;Superior Completo;Sociologo;Servidor Estatutário;Técnico de nível superior;40 horas semanais;5/28/2014;Serviço de Abordagem Social;Atividades de gestão (administrativo); ;59;50 anos ou mais;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
29313597746;293135;2931350;Região Nordeste;BA;Teixeira de Freitas;138341;Grande;1021644;11/23/1990;F;Superior Completo;Pedagogo;Servidor Temporário;Coordenador(a);40 horas semanais;10/5/2015;Atividades de gestão (administrativo); ; ;25;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
35188097070;351880;3518800;Região Sudeste;SP;Guarulhos;1221979;Metrópole;981481;12/18/1990;F;Superior Completo;Pedagogo;Empregado Público (CLT);Educador(a) Social;40 horas semanais;3/7/2014;Serviço Especializado para Pessoas em Situação de Rua;Outros; ;25;Até 29 anos;Nível Superior;Empregado Público (CLT); ; ;Nível Superior; ;Empregado Público (CLT); ; ;Pedagogo; ; ; ; 
31471097872;314710;3147105;Região Sudeste;MG;Pará de Minas;84215;Médio;672457;10/28/1989;F;Superior Completo;Pedagogo;Servidor Temporário;Técnico de nível superior;30 horas semanais;6/1/2015;Serviço de Abordagem Social;Serviço Especializado para Pessoas em Situação de Rua;Outros;26;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
29274097520;292740;2927408;Região Nordeste;BA;Salvador;2675656;Metrópole;1049106;4/13/1988;F;Superior Completo;Pedagogo;Outro vínculo não permanente;Técnico de nível superior;40 horas semanais;6/15/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;27;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
42119098110;421190;4211900;Região Sul;SC;Palhoça;137334;Grande;1005203;2/10/1988;F;Superior Completo;Pedagogo;Servidor Temporário;Técnico de nível superior;30 horas semanais;11/17/2014;Serviço Especializado para Pessoas em Situação de Rua; ; ;27;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
35517098026;355170;3551702;Região Sudeste;SP;Sertãozinho;110074;Grande;833265;8/27/1987;F;Superior Completo;Pedagogo;Servidor Temporário;Técnico de nível superior;40 horas semanais;9/9/2013;Serviço de Abordagem Social;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico);Outros;28;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
50032097850;500320;5003207;Região Centro-Oeste;MS;Corumbá;103703;Grande;714950;9/23/1986;M;Especialização;Pedagogo;Servidor Estatutário;Técnico de nível superior;Maior que 40 horas semanais;9/1/2014;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social; ;29;Até 29 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
31062094302;310620;3106200;Região Sudeste;MG;Belo Horizonte;2375151;Metrópole;964624;5/3/1986;M;Superior Completo;Pedagogo;Trabalhador de Empresa/Cooperativa/Entidade Prestadora de Serviços;Educador(a) Social;40 horas semanais;6/16/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;29;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
35414097198;354140;3541406;Região Sudeste;SP;Presidente Prudente;207610;Grande;839773;4/8/1986;F;Superior Completo;Pedagogo;Trabalhador de Empresa/Cooperativa/Entidade Prestadora de Serviços;Outros;40 horas semanais;2/1/2013;Serviço de Abordagem Social; ; ;29;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
33010096432;330100;3301009;Região Sudeste;RJ;Campos dos Goytacazes;463731;Grande;875000;12/13/1985;F;Especialização;Pedagogo;Servidor Estatutário;Técnico de nível superior;20 horas semanais;6/1/2015;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico);30;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
41014098054;410140;4101408;Região Sul;PR;Apucarana;120919;Grande;651505;1/14/1985;F;Especialização;Pedagogo;Servidor Estatutário;Técnico de nível superior;40 horas semanais;8/5/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;30;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
15017098028;150170;1501709;Região Norte;PA;Bragança;113227;Grande;938173;6/26/1985;F;Superior Incompleto;Pedagogo;Servidor Temporário;Técnico de nível superior;30 horas semanais;1/1/2014;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social; ;30;De 30 a 39 anos;Nível Médio;Outros vínculos não permanentes; ;Nível Médio; ; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
13547802262;354780;3547809;Região Sudeste;SP;Santo André;676407;Grande;916522;4/20/1984;F;Superior Completo;Pedagogo;Outro vínculo não permanente;Técnico de nível superior;40 horas semanais;11/1/2013;Serviço de Abordagem Social; ; ;31;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
41042098089;410420;4104204;Região Sul;PR;Campo Largo;112377;Grande;1098822;2/18/1984;F;Superior Completo;Pedagogo;Servidor Estatutário;Educador(a) Social;40 horas semanais;8/3/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;31;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
33024097276;330240;3302403;Região Sudeste;RJ;Macaé;206728;Grande;956720;11/11/1984;M;Superior Completo;Pedagogo;Outro vínculo não permanente;Educador(a) Social;40 horas semanais;2/18/2014;Serviço Especializado para Pessoas em Situação de Rua; ;Outros;31;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
13548503089;354850;3548500;Região Sudeste;SP;Santos;419400;Grande;978955;5/9/1984;M;Médio Completo;Pedagogo;Servidor Estatutário;Outros;40 horas semanais;1/1/2014;Serviço de Abordagem Social; ; ;31;De 30 a 39 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
21113096866;211130;2111300;Região Nordeste;MA;São Luís;1014837;Metrópole;571376;2/18/1984;F;Superior Completo;Pedagogo;Servidor Temporário;Técnico de nível superior;30 horas semanais;10/17/2011;Serviço Especializado para Pessoas em Situação de Rua; ; ;31;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
25075096968;250750;2507507;Região Nordeste;PB;João Pessoa;723515;Grande;981108;7/27/1983;M;Superior Completo;Pedagogo;Outro vínculo não permanente;Técnico de nível superior;40 horas semanais;3/9/2015;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social; ;32;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
33024097276;330240;3302403;Região Sudeste;RJ;Macaé;206728;Grande;1095305;10/11/1983;F;Superior Completo;Pedagogo;Servidor Temporário;Educador(a) Social;40 horas semanais;4/1/2015;Serviço Especializado para Pessoas em Situação de Rua;Atividades de gestão (administrativo); ;32;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
21113096454;211130;2111300;Região Nordeste;MA;São Luís;1014837;Metrópole;571370;12/28/1982;F;Superior Completo;Pedagogo;Comissionado;Técnico de nível superior;40 horas semanais;1/7/2013;Serviço Especializado para Pessoas em Situação de Rua; ; ;33;De 30 a 39 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ;Comissionado; ;Pedagogo; ; ; ; 
28003095452;280030;2800308;Região Nordeste;SE;Aracaju;571149;Grande;265093;4/27/1982;F;Superior Completo;Pedagogo;Servidor Estatutário;Técnico(a) de nível médio;Maior que 40 horas semanais;9/3/2012;Serviço de Abordagem Social;Serviço Especializado para Pessoas em Situação de Rua; ;33;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
29108095736;291080;2910800;Região Nordeste;BA;Feira de Santana;556642;Grande;791245;5/27/1982;F;Superior Completo;Pedagogo;Servidor Temporário;Técnico de nível superior;30 horas semanais;3/15/2013;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social; ;33;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
26116097090;261160;2611606;Região Nordeste;PE;Recife;1537704;Metrópole;702556;5/31/1982;F;Superior Completo;Pedagogo;Servidor Estatutário;Educador(a) Social;40 horas semanais;10/26/2010;Serviço de Abordagem Social; ; ;33;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
23129097932;231290;2312908;Região Nordeste;CE;Sobral;188233;Grande;815034;8/9/1982;M;Superior Completo;Pedagogo;Servidor Temporário;Coordenador(a);40 horas semanais;4/1/2014;Atividades de gestão (administrativo); ; ;33;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
21113096454;211130;2111300;Região Nordeste;MA;São Luís;1014837;Metrópole;571372;3/12/1982;F;Superior Completo;Pedagogo;Outro vínculo não permanente;Apoio administrativo;30 horas semanais;6/1/2009;Atividades de gestão (administrativo); ; ;33;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
31702097728;317020;3170206;Região Sudeste;MG;Uberlândia;604013;Grande;1084444;12/27/1981;M;Superior Completo;Pedagogo;Comissionado;Técnico de nível superior;30 horas semanais;3/11/2014;Serviço Especializado para Pessoas em Situação de Rua; ; ;34;De 30 a 39 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ;Comissionado; ;Pedagogo; ; ; ; 
35414097198;354140;3541406;Região Sudeste;SP;Presidente Prudente;207610;Grande;581959;11/13/1981;F;Superior Completo;Pedagogo;Servidor Estatutário;Técnico de nível superior;40 horas semanais;8/5/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;34;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ;Pedagogo; ; ; ; 
15014097758;150140;1501402;Região Norte;PA;Belém;1393399;Metrópole;967537;8/5/1981;M;Especialização;Pedagogo;Servidor Temporário;Educador(a) Social;30 horas semanais;7/1/2014;Serviço de Abordagem Social;Outros; ;34;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes;Pedagogo; ; ; ; 
